model,k,fold,ece,k_label
PlackettLuce,1,0,0.6160106062889099,1
PlackettLuce,1,1,0.5986166596412659,1
PlackettLuce,1,2,0.5893731117248535,1
PlackettLuce,1,3,0.5960323810577393,1
PlackettLuce,1,4,0.4802681505680084,1
PlackettLuce,2,0,0.8822246789932251,2
PlackettLuce,2,1,0.9822335839271545,2
PlackettLuce,2,2,0.9229326248168945,2
PlackettLuce,2,3,0.9095779657363892,2
PlackettLuce,2,4,0.8264586925506592,2
PlackettLuce,3,0,1.2168394327163696,3
PlackettLuce,3,1,1.2441740036010742,3
PlackettLuce,3,2,1.1366466283798218,3
PlackettLuce,3,3,1.2870572805404663,3
PlackettLuce,3,4,1.269682765007019,3
PlackettLuce,4,0,1.4183804988861084,4
PlackettLuce,4,1,1.5335233211517334,4
PlackettLuce,4,2,1.3331888914108276,4
PlackettLuce,4,3,1.5487161874771118,4
PlackettLuce,4,4,1.5424994230270386,4
PlackettLuce,5,0,1.4332178831100464,5
PlackettLuce,5,1,1.545198678970337,5
PlackettLuce,5,2,1.3359285593032837,5
PlackettLuce,5,3,1.5653798580169678,5
PlackettLuce,5,4,1.552504539489746,5
MallowsModel,1,0,0.6236075758934021,1
MallowsModel,1,1,0.5273892879486084,1
MallowsModel,1,2,0.5002870559692383,1
MallowsModel,1,3,0.5297477841377258,1
MallowsModel,1,4,0.8315784931182861,1
MallowsModel,2,0,0.9300505518913269,2
MallowsModel,2,1,0.9845048189163208,2
MallowsModel,2,2,0.7917475700378418,2
MallowsModel,2,3,0.9155712127685547,2
MallowsModel,2,4,1.0861448049545288,2
MallowsModel,3,0,1.4255075454711914,3
MallowsModel,3,1,1.4034467935562134,3
MallowsModel,3,2,1.308411717414856,3
MallowsModel,3,3,1.341188669204712,3
MallowsModel,3,4,1.5949763059616089,3
MallowsModel,4,0,1.7006155252456665,4
MallowsModel,4,1,1.7510868310928345,4
MallowsModel,4,2,1.7167069911956787,4
MallowsModel,4,3,1.7623080015182495,4
MallowsModel,4,4,1.8160804510116577,4
MallowsModel,5,0,1.794241189956665,5
MallowsModel,5,1,1.8258568048477173,5
MallowsModel,5,2,1.8036013841629028,5
MallowsModel,5,3,1.8379080295562744,5
MallowsModel,5,4,1.8812313079833984,5
PreferenceModel,1,0,0.5180812478065491,1
PreferenceModel,1,1,0.6355293393135071,1
PreferenceModel,1,2,0.6286939382553101,1
PreferenceModel,1,3,0.48519039154052734,1
PreferenceModel,1,4,0.5025884509086609,1
PreferenceModel,2,0,0.9182491898536682,2
PreferenceModel,2,1,0.987662136554718,2
PreferenceModel,2,2,0.9164867997169495,2
PreferenceModel,2,3,0.8181340098381042,2
PreferenceModel,2,4,0.6971582770347595,2
PreferenceModel,3,0,1.6199204921722412,3
PreferenceModel,3,1,1.6242767572402954,3
PreferenceModel,3,2,1.5879870653152466,3
PreferenceModel,3,3,1.5824075937271118,3
PreferenceModel,3,4,1.6035593748092651,3
PreferenceModel,4,0,1.8446626663208008,4
PreferenceModel,4,1,1.8623597621917725,4
PreferenceModel,4,2,1.8396837711334229,4
PreferenceModel,4,3,1.8579459190368652,4
PreferenceModel,4,4,1.8687711954116821,4
PreferenceModel,5,0,1.9199272394180298,5
PreferenceModel,5,1,1.929608941078186,5
PreferenceModel,5,2,1.9119915962219238,5
PreferenceModel,5,3,1.9335713386535645,5
PreferenceModel,5,4,1.9508094787597656,5
PlackettLuceRPC,1,0,0.8379274606704712,1
PlackettLuceRPC,1,1,0.6551897525787354,1
PlackettLuceRPC,1,2,0.6092016696929932,1
PlackettLuceRPC,1,3,0.8603004217147827,1
PlackettLuceRPC,1,4,0.6217408180236816,1
PlackettLuceRPC,2,0,1.3600857257843018,2
PlackettLuceRPC,2,1,1.3404892683029175,2
PlackettLuceRPC,2,2,1.122023344039917,2
PlackettLuceRPC,2,3,1.4351234436035156,2
PlackettLuceRPC,2,4,1.2232714891433716,2
PlackettLuceRPC,3,0,1.5680149793624878,3
PlackettLuceRPC,3,1,1.6164339780807495,3
PlackettLuceRPC,3,2,1.5009524822235107,3
PlackettLuceRPC,3,3,1.7764546871185303,3
PlackettLuceRPC,3,4,1.6491014957427979,3
PlackettLuceRPC,4,0,1.811611533164978,4
PlackettLuceRPC,4,1,1.8373903036117554,4
PlackettLuceRPC,4,2,1.7728867530822754,4
PlackettLuceRPC,4,3,1.910156488418579,4
PlackettLuceRPC,4,4,1.849757432937622,4
PlackettLuceRPC,5,0,1.8936549425125122,5
PlackettLuceRPC,5,1,1.9044936895370483,5
PlackettLuceRPC,5,2,1.8830373287200928,5
PlackettLuceRPC,5,3,1.9299262762069702,5
PlackettLuceRPC,5,4,1.9089723825454712,5
RPC,1,0,14.0,1
RPC,1,1,14.021708488464355,1
RPC,1,2,14.0,1
RPC,1,3,14.007901191711426,1
RPC,1,4,14.055807113647461,1
RPC,2,0,15.09656810760498,2
RPC,2,1,15.347058296203613,2
RPC,2,2,14.860504150390625,2
RPC,2,3,14.954901695251465,2
RPC,2,4,14.676470756530762,2
RPC,3,0,-1.0,3
RPC,3,1,-1.0,3
RPC,3,2,-1.0,3
RPC,3,3,-1.0,3
RPC,3,4,-1.0,3
RPC,4,0,-1.0,4
RPC,4,1,-1.0,4
RPC,4,2,-1.0,4
RPC,4,3,-1.0,4
RPC,4,4,-1.0,4
RPC,5,0,-1.0,5
RPC,5,1,-1.0,5
RPC,5,2,-1.0,5
RPC,5,3,-1.0,5
RPC,5,4,-1.0,5
