model,k,fold,ece,k_label
PlackettLuce,2,0,0.12303307663236833,2
PlackettLuce,2,1,0.13207050925238872,2
PlackettLuce,2,2,0.16115954376385477,2
PlackettLuce,2,3,0.15502085224021714,2
PlackettLuce,2,4,0.16335122732245796,2
PlackettLuce,3,0,0.1356225233372771,3
PlackettLuce,3,1,0.1430613379663655,3
PlackettLuce,3,2,0.15092119262048198,3
PlackettLuce,3,3,0.1284854758553413,3
PlackettLuce,3,4,0.12895696684633534,3
PlackettLuce,4,0,0.0946884026950186,4
PlackettLuce,4,1,0.08557860804692191,4
PlackettLuce,4,2,0.09150666275360511,4
PlackettLuce,4,3,0.07584006455920293,4
PlackettLuce,4,4,0.08229520586061481,4
PlackettLuce,5,0,0.05687395919409194,5
PlackettLuce,5,1,0.04788681110868072,5
PlackettLuce,5,2,0.051641140818221826,5
PlackettLuce,5,3,0.04531110540911083,5
PlackettLuce,5,4,0.048575792042951524,5
PlackettLuce,6,0,0.03466772277123518,6
PlackettLuce,6,1,0.038681240636111294,6
PlackettLuce,6,2,0.036120684570919374,6
PlackettLuce,6,3,0.03626430081669342,6
PlackettLuce,6,4,0.03712787831379617,6
MallowsModel,2,0,0.17675035788732416,2
MallowsModel,2,1,0.13685880792783758,2
MallowsModel,2,2,0.16054262450220538,2
MallowsModel,2,3,0.12625709041660907,2
MallowsModel,2,4,0.12727545768606893,2
MallowsModel,3,0,0.15301719872993136,3
MallowsModel,3,1,0.11159735118477218,3
MallowsModel,3,2,0.1303033575881271,3
MallowsModel,3,3,0.09761333762229807,3
MallowsModel,3,4,0.10596435872618762,3
MallowsModel,4,0,0.09267341578561902,4
MallowsModel,4,1,0.07010744396487593,4
MallowsModel,4,2,0.07949695529087517,4
MallowsModel,4,3,0.06082454839830903,4
MallowsModel,4,4,0.07294137580137643,4
MallowsModel,5,0,0.056866593583025996,5
MallowsModel,5,1,0.05012653150034202,5
MallowsModel,5,2,0.05237646145328397,5
MallowsModel,5,3,0.04279654064585517,5
MallowsModel,5,4,0.05121206184369797,5
MallowsModel,6,0,0.03776104994262021,6
MallowsModel,6,1,0.04146560292899855,6
MallowsModel,6,2,0.042636077164977054,6
MallowsModel,6,3,0.036414196466948316,6
MallowsModel,6,4,0.04116880575876327,6
PreferenceModel,2,0,0.12701961524320515,2
PreferenceModel,2,1,0.13647213209132564,2
PreferenceModel,2,2,0.1143146120269612,2
PreferenceModel,2,3,0.12531394652996508,2
PreferenceModel,2,4,0.10989999618389855,2
PreferenceModel,3,0,0.12110352787321305,3
PreferenceModel,3,1,0.10377595465095343,3
PreferenceModel,3,2,0.11027549712670551,3
PreferenceModel,3,3,0.10948526335825379,3
PreferenceModel,3,4,0.11168232658027208,3
PreferenceModel,4,0,0.07377742546328037,4
PreferenceModel,4,1,0.06664393431278262,4
PreferenceModel,4,2,0.0681716984742663,4
PreferenceModel,4,3,0.06877149391936577,4
PreferenceModel,4,4,0.06812219724226695,4
PreferenceModel,5,0,0.04699220190041159,5
PreferenceModel,5,1,0.04530943672189115,5
PreferenceModel,5,2,0.04239858723570647,5
PreferenceModel,5,3,0.043565300216193745,5
PreferenceModel,5,4,0.045916442868365416,5
PreferenceModel,6,0,0.031459269428697714,6
PreferenceModel,6,1,0.03847519702022607,6
PreferenceModel,6,2,0.030931173591863724,6
PreferenceModel,6,3,0.03324758444603009,6
PreferenceModel,6,4,0.040585589314868324,6
PlackettLuceRPC,2,0,0.23018232486494208,2
PlackettLuceRPC,2,1,0.1969725988871719,2
PlackettLuceRPC,2,2,0.2104194141885621,2
PlackettLuceRPC,2,3,0.22506662870685673,2
PlackettLuceRPC,2,4,0.20993421326883058,2
PlackettLuceRPC,3,0,0.19370526235436358,3
PlackettLuceRPC,3,1,0.1598809002030222,3
PlackettLuceRPC,3,2,0.17072572969591737,3
PlackettLuceRPC,3,3,0.1499414360970478,3
PlackettLuceRPC,3,4,0.15637370761481467,3
PlackettLuceRPC,4,0,0.11243748984072967,4
PlackettLuceRPC,4,1,0.09200813690245582,4
PlackettLuceRPC,4,2,0.0927749959574187,4
PlackettLuceRPC,4,3,0.07776554735611621,4
PlackettLuceRPC,4,4,0.08404207132910338,4
PlackettLuceRPC,5,0,0.06128107154383099,5
PlackettLuceRPC,5,1,0.05312991165636588,5
PlackettLuceRPC,5,2,0.05387628341375378,5
PlackettLuceRPC,5,3,0.044824300950056545,5
PlackettLuceRPC,5,4,0.0474039223529457,5
PlackettLuceRPC,6,0,0.03686728929580889,6
PlackettLuceRPC,6,1,0.039746777431633636,6
PlackettLuceRPC,6,2,0.04119313823706333,6
PlackettLuceRPC,6,3,0.03638921650663714,6
PlackettLuceRPC,6,4,0.03849047089720577,6
RPC,2,0,0.33921568410722447,2
RPC,2,1,0.32352941027673815,2
RPC,2,2,0.3156862762654598,2
RPC,2,3,0.35882353529832495,2
RPC,2,4,0.3588235276922016,2
RPC,3,0,-1.0,3
RPC,3,1,-1.0,3
RPC,3,2,-1.0,3
RPC,3,3,-1.0,3
RPC,3,4,-1.0,3
RPC,4,0,-1.0,4
RPC,4,1,-1.0,4
RPC,4,2,-1.0,4
RPC,4,3,-1.0,4
RPC,4,4,-1.0,4
RPC,5,0,-1.0,5
RPC,5,1,-1.0,5
RPC,5,2,-1.0,5
RPC,5,3,-1.0,5
RPC,5,4,-1.0,5
RPC,6,0,-1.0,6
RPC,6,1,-1.0,6
RPC,6,2,-1.0,6
RPC,6,3,-1.0,6
RPC,6,4,-1.0,6
