model,k,fold,ece,k_label
PlackettLuce,2,0,0.22152991592884064,2
PlackettLuce,2,1,0.1429915577173233,2
PlackettLuce,2,2,0.13987001776695251,2
PlackettLuce,2,3,0.19445712864398956,2
PlackettLuce,2,4,0.20245416462421417,2
PlackettLuce,3,0,0.37565529346466064,3
PlackettLuce,3,1,0.3401702046394348,3
PlackettLuce,3,2,0.3115576505661011,3
PlackettLuce,3,3,0.3694542646408081,3
PlackettLuce,3,4,0.36680227518081665,3
PlackettLuce,4,0,0.5460710525512695,4
PlackettLuce,4,1,0.5916215181350708,4
PlackettLuce,4,2,0.5316348075866699,4
PlackettLuce,4,3,0.6201284527778625,4
PlackettLuce,4,4,0.5375549793243408,4
PlackettLuce,5,0,0.7366282343864441,5
PlackettLuce,5,1,0.8327045440673828,5
PlackettLuce,5,2,0.7584874033927917,5
PlackettLuce,5,3,0.895954430103302,5
PlackettLuce,5,4,0.732974112033844,5
PlackettLuce,6,0,0.9546111226081848,6
PlackettLuce,6,1,1.033306360244751,6
PlackettLuce,6,2,0.9352437257766724,6
PlackettLuce,6,3,1.1417473554611206,6
PlackettLuce,6,4,0.938361644744873,6
MallowsModel,2,0,0.2967095673084259,2
MallowsModel,2,1,0.1773122102022171,2
MallowsModel,2,2,0.2186911702156067,2
MallowsModel,2,3,0.26238301396369934,2
MallowsModel,2,4,0.2563502788543701,2
MallowsModel,3,0,0.5296590924263,3
MallowsModel,3,1,0.428673654794693,3
MallowsModel,3,2,0.46032315492630005,3
MallowsModel,3,3,0.4676317572593689,3
MallowsModel,3,4,0.49000969529151917,3
MallowsModel,4,0,0.7634262442588806,4
MallowsModel,4,1,0.7426955103874207,4
MallowsModel,4,2,0.7633363604545593,4
MallowsModel,4,3,0.65775066614151,4
MallowsModel,4,4,0.7036076188087463,4
MallowsModel,5,0,0.9345784187316895,5
MallowsModel,5,1,1.063011646270752,5
MallowsModel,5,2,1.11483633518219,5
MallowsModel,5,3,0.9523943066596985,5
MallowsModel,5,4,0.8684584498405457,5
MallowsModel,6,0,1.1339423656463623,6
MallowsModel,6,1,1.3521448373794556,6
MallowsModel,6,2,1.3968397378921509,6
MallowsModel,6,3,1.2146334648132324,6
MallowsModel,6,4,1.0344756841659546,6
PreferenceModel,2,0,0.5851135849952698,2
PreferenceModel,2,1,0.7878068089485168,2
PreferenceModel,2,2,0.7455351948738098,2
PreferenceModel,2,3,0.6756341457366943,2
PreferenceModel,2,4,0.6187976598739624,2
PreferenceModel,3,0,1.0405696630477905,3
PreferenceModel,3,1,1.2504076957702637,3
PreferenceModel,3,2,1.1999695301055908,3
PreferenceModel,3,3,1.1604444980621338,3
PreferenceModel,3,4,1.093597650527954,3
PreferenceModel,4,0,1.3906604051589966,4
PreferenceModel,4,1,1.5595470666885376,4
PreferenceModel,4,2,1.5078985691070557,4
PreferenceModel,4,3,1.5109531879425049,4
PreferenceModel,4,4,1.4318101406097412,4
PreferenceModel,5,0,1.773454189300537,5
PreferenceModel,5,1,1.847674012184143,5
PreferenceModel,5,2,1.7898836135864258,5
PreferenceModel,5,3,1.8264492750167847,5
PreferenceModel,5,4,1.7984405755996704,5
PreferenceModel,6,0,1.9311425685882568,6
PreferenceModel,6,1,1.9459667205810547,6
PreferenceModel,6,2,1.9014612436294556,6
PreferenceModel,6,3,1.949277639389038,6
PreferenceModel,6,4,1.9549009799957275,6
PlackettLuceRPC,2,0,0.5266096591949463,2
PlackettLuceRPC,2,1,0.6045510768890381,2
PlackettLuceRPC,2,2,0.5583561062812805,2
PlackettLuceRPC,2,3,0.6013050079345703,2
PlackettLuceRPC,2,4,0.5431509613990784,2
PlackettLuceRPC,3,0,1.0368478298187256,3
PlackettLuceRPC,3,1,1.2377734184265137,3
PlackettLuceRPC,3,2,1.2028218507766724,3
PlackettLuceRPC,3,3,1.1929937601089478,3
PlackettLuceRPC,3,4,1.0664806365966797,3
PlackettLuceRPC,4,0,1.4748883247375488,4
PlackettLuceRPC,4,1,1.5828882455825806,4
PlackettLuceRPC,4,2,1.5723650455474854,4
PlackettLuceRPC,4,3,1.5594173669815063,4
PlackettLuceRPC,4,4,1.488504409790039,4
PlackettLuceRPC,5,0,1.8060375452041626,5
PlackettLuceRPC,5,1,1.7971428632736206,5
PlackettLuceRPC,5,2,1.8014999628067017,5
PlackettLuceRPC,5,3,1.7890645265579224,5
PlackettLuceRPC,5,4,1.7969489097595215,5
PlackettLuceRPC,6,0,1.9359766244888306,6
PlackettLuceRPC,6,1,1.8945337533950806,6
PlackettLuceRPC,6,2,1.9235609769821167,6
PlackettLuceRPC,6,3,1.8872723579406738,6
PlackettLuceRPC,6,4,1.9214296340942383,6
RPC,2,0,0.5364341735839844,2
RPC,2,1,0.23514215648174286,2
RPC,2,2,0.2694721519947052,2
RPC,2,3,0.4030269682407379,2
RPC,2,4,0.4285714030265808,2
RPC,3,0,-1.0,3
RPC,3,1,-1.0,3
RPC,3,2,-1.0,3
RPC,3,3,-1.0,3
RPC,3,4,-1.0,3
RPC,4,0,-1.0,4
RPC,4,1,-1.0,4
RPC,4,2,-1.0,4
RPC,4,3,-1.0,4
RPC,4,4,-1.0,4
RPC,5,0,-1.0,5
RPC,5,1,-1.0,5
RPC,5,2,-1.0,5
RPC,5,3,-1.0,5
RPC,5,4,-1.0,5
RPC,6,0,-1.0,6
RPC,6,1,-1.0,6
RPC,6,2,-1.0,6
RPC,6,3,-1.0,6
RPC,6,4,-1.0,6
