model,k,fold,ece,k_label
PlackettLuce,2,0,0.039940230548381805,2
PlackettLuce,2,1,0.04324454069137573,2
PlackettLuce,2,2,0.04024125263094902,2
PlackettLuce,2,3,0.038539379835128784,2
PlackettLuce,2,4,0.03902086615562439,2
PlackettLuce,3,0,0.1367143839597702,3
PlackettLuce,3,1,0.14419910311698914,3
PlackettLuce,3,2,0.1439998894929886,3
PlackettLuce,3,3,0.12852978706359863,3
PlackettLuce,3,4,0.13759517669677734,3
PlackettLuce,4,0,0.2659171223640442,4
PlackettLuce,4,1,0.277966171503067,4
PlackettLuce,4,2,0.2797808349132538,4
PlackettLuce,4,3,0.2510102689266205,4
PlackettLuce,4,4,0.2660004496574402,4
PlackettLuce,5,0,0.40680548548698425,5
PlackettLuce,5,1,0.41281136870384216,5
PlackettLuce,5,2,0.4268686771392822,5
PlackettLuce,5,3,0.3843270242214203,5
PlackettLuce,5,4,0.4101884961128235,5
PlackettLuce,6,0,0.5625645518302917,6
PlackettLuce,6,1,0.5560058951377869,6
PlackettLuce,6,2,0.5802119374275208,6
PlackettLuce,6,3,0.5300941467285156,6
PlackettLuce,6,4,0.5650666356086731,6
PlackettLuce,7,0,0.7333307862281799,7
PlackettLuce,7,1,0.718077540397644,7
PlackettLuce,7,2,0.7357588410377502,7
PlackettLuce,7,3,0.7054398655891418,7
PlackettLuce,7,4,0.7345219254493713,7
MallowsModel,2,0,0.19762179255485535,2
MallowsModel,2,1,0.16194337606430054,2
MallowsModel,2,2,0.20524626970291138,2
MallowsModel,2,3,0.17696541547775269,2
MallowsModel,2,4,0.21237781643867493,2
MallowsModel,3,0,0.546354353427887,3
MallowsModel,3,1,0.531333863735199,3
MallowsModel,3,2,0.5535171031951904,3
MallowsModel,3,3,0.5401630997657776,3
MallowsModel,3,4,0.5450862050056458,3
MallowsModel,4,0,1.0469183921813965,4
MallowsModel,4,1,1.0269758701324463,4
MallowsModel,4,2,1.026998519897461,4
MallowsModel,4,3,1.0489801168441772,4
MallowsModel,4,4,1.013912320137024,4
MallowsModel,5,0,1.4246903657913208,5
MallowsModel,5,1,1.3947428464889526,5
MallowsModel,5,2,1.3976932764053345,5
MallowsModel,5,3,1.430455207824707,5
MallowsModel,5,4,1.403071403503418,5
MallowsModel,6,0,1.6756998300552368,6
MallowsModel,6,1,1.6624947786331177,6
MallowsModel,6,2,1.6650619506835938,6
MallowsModel,6,3,1.6798557043075562,6
MallowsModel,6,4,1.6736119985580444,6
MallowsModel,7,0,1.8680927753448486,7
