model,k,fold,ece,k_label
PlackettLuce,1,0,0.2490963488817215,1
PlackettLuce,1,1,0.2798965573310852,1
PlackettLuce,1,2,0.2972490191459656,1
PlackettLuce,1,3,0.22710418701171875,1
PlackettLuce,1,4,0.2491423338651657,1
PlackettLuce,2,0,0.30048125982284546,2
PlackettLuce,2,1,0.3273248076438904,2
PlackettLuce,2,2,0.33217817544937134,2
PlackettLuce,2,3,0.30534273386001587,2
PlackettLuce,2,4,0.26080670952796936,2
PlackettLuce,3,0,0.3039085566997528,3
PlackettLuce,3,1,0.32524439692497253,3
PlackettLuce,3,2,0.3294510543346405,3
PlackettLuce,3,3,0.3117430806159973,3
PlackettLuce,3,4,0.25692304968833923,3
PlackettLuce,4,0,0.35385429859161377,4
PlackettLuce,4,1,0.3412625789642334,4
PlackettLuce,4,2,0.35832810401916504,4
PlackettLuce,4,3,0.32171526551246643,4
PlackettLuce,4,4,0.3028682768344879,4
PlackettLuce,5,0,0.35730063915252686,5
PlackettLuce,5,1,0.3414662182331085,5
PlackettLuce,5,2,0.3593290448188782,5
PlackettLuce,5,3,0.3237863779067993,5
PlackettLuce,5,4,0.30289697647094727,5
PlackettLuce,6,0,0.35915902256965637,6
PlackettLuce,6,1,0.3417666554450989,6
PlackettLuce,6,2,0.36055460572242737,6
PlackettLuce,6,3,0.3252897262573242,6
PlackettLuce,6,4,0.30318132042884827,6
PreferenceModel,1,0,0.13943472504615784,1
PreferenceModel,1,1,0.11055701971054077,1
PreferenceModel,1,2,0.10730434954166412,1
PreferenceModel,1,3,0.12599967420101166,1
PreferenceModel,1,4,0.17744596302509308,1
PreferenceModel,2,0,0.18179009854793549,2
PreferenceModel,2,1,0.1455129235982895,2
PreferenceModel,2,2,0.14630839228630066,2
PreferenceModel,2,3,0.1844301074743271,2
PreferenceModel,2,4,0.1724555790424347,2
PreferenceModel,3,0,0.18539519608020782,3
PreferenceModel,3,1,0.16480396687984467,3
PreferenceModel,3,2,0.17917536199092865,3
PreferenceModel,3,3,0.21896673738956451,3
PreferenceModel,3,4,0.16847984492778778,3
PreferenceModel,4,0,0.2185295969247818,4
PreferenceModel,4,1,0.191598579287529,4
PreferenceModel,4,2,0.19167566299438477,4
PreferenceModel,4,3,0.21536758542060852,4
PreferenceModel,4,4,0.21904319524765015,4
PreferenceModel,5,0,0.2206360548734665,5
PreferenceModel,5,1,0.1930902600288391,5
PreferenceModel,5,2,0.18938948214054108,5
PreferenceModel,5,3,0.21875756978988647,5
PreferenceModel,5,4,0.21991634368896484,5
PreferenceModel,6,0,0.22204653918743134,6
PreferenceModel,6,1,0.19433343410491943,6
PreferenceModel,6,2,0.18841668963432312,6
PreferenceModel,6,3,0.22093024849891663,6
PreferenceModel,6,4,0.22039736807346344,6
PlackettLuceRPC,1,0,0.6722623109817505,1
PlackettLuceRPC,1,1,0.700559139251709,1
PlackettLuceRPC,1,2,0.7138056755065918,1
PlackettLuceRPC,1,3,0.7026155591011047,1
PlackettLuceRPC,1,4,0.6419272422790527,1
PlackettLuceRPC,2,0,0.68510901927948,2
PlackettLuceRPC,2,1,0.7055453062057495,2
PlackettLuceRPC,2,2,0.7233151793479919,2
PlackettLuceRPC,2,3,0.7196323275566101,2
PlackettLuceRPC,2,4,0.6516014933586121,2
PlackettLuceRPC,3,0,0.6844537258148193,3
PlackettLuceRPC,3,1,0.7045775651931763,3
PlackettLuceRPC,3,2,0.7203624248504639,3
PlackettLuceRPC,3,3,0.727958619594574,3
PlackettLuceRPC,3,4,0.6460126042366028,3
PlackettLuceRPC,4,0,0.6836111545562744,4
PlackettLuceRPC,4,1,0.7032172679901123,4
PlackettLuceRPC,4,2,0.7227634191513062,4
PlackettLuceRPC,4,3,0.7250756621360779,4
PlackettLuceRPC,4,4,0.6585697531700134,4
PlackettLuceRPC,5,0,0.683799684047699,5
PlackettLuceRPC,5,1,0.7034199833869934,5
PlackettLuceRPC,5,2,0.7222319841384888,5
PlackettLuceRPC,5,3,0.7264683246612549,5
PlackettLuceRPC,5,4,0.6597471833229065,5
PlackettLuceRPC,6,0,0.684217095375061,6
PlackettLuceRPC,6,1,0.7038076519966125,6
PlackettLuceRPC,6,2,0.7222331762313843,6
PlackettLuceRPC,6,3,0.7275894284248352,6
PlackettLuceRPC,6,4,0.6608368754386902,6
