model,k,fold,ece,k_label
PlackettLuce,2,0,0.07868843960265319,2
PlackettLuce,2,1,0.08199047856032848,2
PlackettLuce,2,2,0.10443339124321938,2
PlackettLuce,2,3,0.11458633591731389,2
PlackettLuce,2,4,0.207790307700634,2
PlackettLuce,3,0,0.12094499062125881,3
PlackettLuce,3,1,0.11802069408198197,3
PlackettLuce,3,2,0.1471259407699108,3
PlackettLuce,3,3,0.15670596916849414,3
PlackettLuce,3,4,0.1660455713669459,3
PreferenceModel,2,0,0.17994115377465883,2
PreferenceModel,2,1,0.09001690646012624,2
PreferenceModel,2,2,0.11655785391728084,2
PreferenceModel,2,3,0.18494685490926108,2
PreferenceModel,2,4,0.15026739488045374,2
PreferenceModel,3,0,0.10031936903639387,3
PreferenceModel,3,1,0.11249898009312649,3
PreferenceModel,3,2,0.1408896722520391,3
PreferenceModel,3,3,0.18038562343766293,3
PreferenceModel,3,4,0.1369246837372581,3
PlackettLuceRPC,2,0,0.3098325456182162,2
PlackettLuceRPC,2,1,0.21660595138867697,2
PlackettLuceRPC,2,2,0.2349036100010077,2
PlackettLuceRPC,2,3,0.27994097272555035,2
PlackettLuceRPC,2,4,0.18738563607136408,2
PlackettLuceRPC,3,0,0.21726885562141737,3
PlackettLuceRPC,3,1,0.21928331007560095,3
PlackettLuceRPC,3,2,0.17353331483900547,3
PlackettLuceRPC,3,3,0.20107418795426688,3
PlackettLuceRPC,3,4,0.16752386714021364,3
RPC,2,0,0.2509922534227371,2
RPC,2,1,0.1320123008141915,2
RPC,2,2,0.14028378079334894,2
RPC,2,3,0.2431536465883255,2
RPC,2,4,0.15617882708708444,2
RPC,3,0,-1.0,3
RPC,3,1,-1.0,3
RPC,3,2,-1.0,3
RPC,3,3,-1.0,3
RPC,3,4,-1.0,3
