model,k,fold,ece,k_label
PlackettLuce,1,0,0.06703301519155502,1
PlackettLuce,1,1,0.10686078667640686,1
PlackettLuce,1,2,0.03929232805967331,1
PlackettLuce,1,3,0.12538832426071167,1
PlackettLuce,1,4,0.09035775065422058,1
PlackettLuce,2,0,0.2800842821598053,2
PlackettLuce,2,1,0.32251065969467163,2
PlackettLuce,2,2,0.21213658154010773,2
PlackettLuce,2,3,0.34332966804504395,2
PlackettLuce,2,4,0.28432825207710266,2
PlackettLuce,3,0,0.4715558886528015,3
PlackettLuce,3,1,0.4556479752063751,3
PlackettLuce,3,2,0.3864773213863373,3
PlackettLuce,3,3,0.49859878420829773,3
PlackettLuce,3,4,0.3922494351863861,3
PreferenceModel,1,0,0.18004775047302246,1
PreferenceModel,1,1,0.17451417446136475,1
PreferenceModel,1,2,0.115706667304039,1
PreferenceModel,1,3,0.25879979133605957,1
PreferenceModel,1,4,0.17094840109348297,1
PreferenceModel,2,0,0.38827601075172424,2
PreferenceModel,2,1,0.3798193335533142,2
PreferenceModel,2,2,0.3092673718929291,2
PreferenceModel,2,3,0.4372902810573578,2
PreferenceModel,2,4,0.362135648727417,2
PreferenceModel,3,0,0.5014395713806152,3
PreferenceModel,3,1,0.4735437035560608,3
PreferenceModel,3,2,0.4662610590457916,3
PreferenceModel,3,3,0.5174663662910461,3
PreferenceModel,3,4,0.4200412333011627,3
PlackettLuceRPC,1,0,0.35832446813583374,1
PlackettLuceRPC,1,1,0.37005215883255005,1
PlackettLuceRPC,1,2,0.3306095600128174,1
PlackettLuceRPC,1,3,0.4185512065887451,1
PlackettLuceRPC,1,4,0.33958718180656433,1
PlackettLuceRPC,2,0,0.4758852422237396,2
PlackettLuceRPC,2,1,0.4594227969646454,2
PlackettLuceRPC,2,2,0.4590216279029846,2
PlackettLuceRPC,2,3,0.49158015847206116,2
PlackettLuceRPC,2,4,0.44647806882858276,2
PlackettLuceRPC,3,0,0.55692058801651,3
PlackettLuceRPC,3,1,0.536769688129425,3
PlackettLuceRPC,3,2,0.5187261700630188,3
PlackettLuceRPC,3,3,0.6475170254707336,3
PlackettLuceRPC,3,4,0.5346993207931519,3
