model,k,fold,ece,k_label
PlackettLuce,1,0,0.16929982602596283,1
PlackettLuce,1,1,0.1739121824502945,1
PlackettLuce,1,2,0.10797706991434097,1
PlackettLuce,1,3,0.2651751935482025,1
PlackettLuce,1,4,0.16897718608379364,1
PlackettLuce,2,0,0.27691951394081116,2
PlackettLuce,2,1,0.2911551296710968,2
PlackettLuce,2,2,0.217583566904068,2
PlackettLuce,2,3,0.32684165239334106,2
PlackettLuce,2,4,0.24241943657398224,2
PlackettLuce,3,0,0.35900983214378357,3
PlackettLuce,3,1,0.35096997022628784,3
PlackettLuce,3,2,0.2942056655883789,3
PlackettLuce,3,3,0.3573637008666992,3
PlackettLuce,3,4,0.2569093108177185,3
PreferenceModel,1,0,0.2296697497367859,1
PreferenceModel,1,1,0.21868282556533813,1
PreferenceModel,1,2,0.15752583742141724,1
PreferenceModel,1,3,0.26588544249534607,1
PreferenceModel,1,4,0.22166499495506287,1
PreferenceModel,2,0,0.35402408242225647,2
PreferenceModel,2,1,0.3436933159828186,2
PreferenceModel,2,2,0.27604949474334717,2
PreferenceModel,2,3,0.40121182799339294,2
PreferenceModel,2,4,0.32661640644073486,2
PreferenceModel,3,0,0.41319701075553894,3
PreferenceModel,3,1,0.41280853748321533,3
PreferenceModel,3,2,0.3597020208835602,3
PreferenceModel,3,3,0.44266653060913086,3
PreferenceModel,3,4,0.3409026265144348,3
PlackettLuceRPC,1,0,0.396024614572525,1
PlackettLuceRPC,1,1,0.38243040442466736,1
PlackettLuceRPC,1,2,0.3620781898498535,1
PlackettLuceRPC,1,3,0.5028190612792969,1
PlackettLuceRPC,1,4,0.35834622383117676,1
PlackettLuceRPC,2,0,0.3755461871623993,2
PlackettLuceRPC,2,1,0.38798239827156067,2
PlackettLuceRPC,2,2,0.35292670130729675,2
PlackettLuceRPC,2,3,0.4459555149078369,2
PlackettLuceRPC,2,4,0.3385234773159027,2
PlackettLuceRPC,3,0,0.3843151330947876,3
PlackettLuceRPC,3,1,0.39754632115364075,3
PlackettLuceRPC,3,2,0.3507866859436035,3
PlackettLuceRPC,3,3,0.4179109036922455,3
PlackettLuceRPC,3,4,0.3607037663459778,3
